source,narm_phone,accessibility_url,address_last_verified,address_line2,address_source,alternate_names,audience_focus,best_season,city,city_region,collection_tier,confidence,country,created_at,data_sources,estimated_visit_minutes,historical_context_score,impressionist_strength,last_updated,latitude,longitude,modern_contemporary_strength,museum_id,museum_name,museum_type,nearby_museum_count,neighborhood,notes,open_hours_url,parking_notes,place_id,postal_code,primary_art,primary_domain,priority_score,public_transit_notes,reputation,reservation_required,row_notes_internal,score_last_verified,score_notes,scored_by,scoring_version,state_province,status,street_address,tickets_url,time_needed,timezone,topics,updated_at,visit_priority_notes,website
NARM-2025,334-794-3871,,,,,,,,Dothan,,,,,,,,,,,,,,,Wiregrass Museum of Art,,,,,,,,,,,,,,,,,,,,Alabama,,,,,,,,,
NARM-2025,256-536-2882,,,,,,,,Huntsville,,,,,,,,,,,,,,,Burritt on the Mountain,,,,,,,,,,,,,,,,,,,,Alabama,,,,,,,,,
NARM-2025,251-208-5200,,,,,,,,Mobile,,,,USA,,,,,,,,,,usa-al-mobile-mobile-museum-of-art,Mobile Museum of Art,Unknown,,,,,,,00000,,,,,,,,,,,,Alabama,,TBD,,,,,,,https://museumspark.com/museums/usa-al-mobile-mobile-museum-of-art
NARM-2025,408-918-1053,,,,,,,,San Jose,,,,,,,,,,,,,,,Chinese Am Project,,,,,,,,,,,,,,,,,,,,Alabama,,,,,,,,,
NARM-2025,479-367-7500,,,,,,,,Bentonville,,,,,,,,,,,,,,,The Momentary,,,,,,,,,,,,,,,,,,,,Alaska,,,,,,,,,
NARM-2025,520-366-6281,,,,,,,,Bisbee,,,,,,,,,,,,,,,Artemizia Foundation,,,,,,,,,,,,,,,,,,,,Alaska,,,,,,,,,
NARM-2025,928-779-2300,,,,,,,,Flagstaff,,,,,,,,,,,,,,,Flagstaff Arts Council,,,,,,,,,,,,,,,,,,,,Alaska,,,,,,,,,
NARM-2025,602-252-8848,,,,,,,,Phoenix,,,,,,,,,,,,,,,Heard Museum,,,,,,,,,,,,,,,,,,,,Alaska,,,,,,,,,
NARM-2025,602-257-1880,,,,,,,,Phoenix,,,,,,,,,,,,,,,Phoenix Art Museum,,,,,,,,,,,,,,,,,,,,Alaska,,,,,,,,,
NARM-2025,928-778-1385,,,,,,,,Prescott,,,,,,,,,,,,,,,Phippen Museum,,,,,,,,,,,,,,,,,,,,Alaska,,,,,,,,,
NARM-2025,928-445-3122,,,,,,,,Prescott,,,,,,,,,,,,,,,Sharlot Hall Museum,,,,,,,,,,,,,,,,,,,,Alaska,,,,,,,,,
NARM-2025,928-282-3809,,,,,,,,Sedona,,,,,,,,,,,,,,,Sedona Arts Center,,,,,,,,,,,,,,,,,,,,Alaska,,,,,,,,,
NARM-2025,441-236-2950,,,,,,,,Sigler Western Museum,,,,,,,,,,,,,,,928-684 muda Art,,,,,,,,,,,,,,,,,,,,Alaska,,,,,,,,,
NARM-2025,520-624-2333,,,,,,,,Tucson,,,,,,,,,,,,,,,Tucson Museum of Art,,,,,,,,,,,,,,,,,,,,Alaska,,,,,,,,,
NARM-2025,510-521-8448,,,,,,,,Alameda,,,,,,,,,,,,,,,USS Hornet Museum,,,,,,,,,,,,,,,,,,,,Arkansas,,,,,,,,,
NARM-2025,707-747-0131,,,,,,,,Benicia,,,,,,,,,,,,,,,Arts Benicia,,,,,,,,,,,,,,,,,,,,Arkansas,,,,,,,,,
NARM-2025,510-644-6893,,,,,,,,Berkeley,,,,,,,,,,,,,,,Berkeley Art Center,,,,,,,,,,,,,,,,,,,,Arkansas,,,,,,,,,
NARM-2025,510-841-7000,,,,,,,,Berkeley,,,,,,,,,,,,,,,Kala Art Institute,,,,,,,,,,,,,,,,,,,,Arkansas,,,,,,,,,
NARM-2025,705-675-4871,,,,,,,,Borrego Art Institute,,,,,,,,,,,,,,,760-767 art de Sudbury,,,,,,,,,,,,,,,,,,,,Arkansas,,,,,,,,,
NARM-2025,408-866-2119,,,,,,,,Campbell,,,,,,,,,,,,,,,Campbell Museums,,,,,,,,,,,,,,,,,,,,Arkansas,,,,,,,,,
NARM-2025,519-582-0278,,,,,,,,Catalina Island Museum,,,,,,,,,,,,,,,310-510-465 Centre,,,,,,,,,,,,,,,,,,,,Arkansas,,,,,,,,,
NARM-2025,514-939-7001,,,,,,,,Center for Photographic Art,,,,,,,,,,,,,,,831-625- e,,,,,,,,,,,,,,,,,,,,Arkansas,,,,,,,,,
NARM-2025,530-891-4336,,,,,,,,Chico,,,,,,,,,,,,,,,Chico History Museum,,,,,,,,,,,,,,,,,,,,Arkansas,,,,,,,,,
NARM-2025,416-973-4949,,,,,,,,Colusa County Arts Council,,,,,,,,,,,,,,,530-458- Art Gallery,,,,,,,,,,,,,,,,,,,,Arkansas,,,,,,,,,
NARM-2025,416-395-0067,,,,,,,,San Lorenzo Valley Museum,,,,,,,,,,,,,,,8 ronto Canada,,,,,,,,,,,,,,,,,,,,Arkansas,,,,,,,,,
NARM-2025,204-727-1036,,,,,,,,Shiloh Museum of Ozark History,,,,,,,,,,,,,,,4 nitoba,,,,,,,,,,,,,,,,,,,,Arkansas,,,,,,,,,
NARM-2025,519-583-2660,,,,,,,,UC Botanical Garden at Berkeley,,,,,,,,,,,,,,,51 ure,,,,,,,,,,,,,,,,,,,,Arkansas,,,,,,,,,
NARM-2025,415-863-7668,,,,,,,,African Diaspora,,,,,,,,,,,,,,,415-358-7200 Division,,,,,,,,,,,,,,,,,,,,California,,,,,,,,,
NARM-2025,415-673-2200,,,,,,,,Archive,,,,,,,,,,,,,,,415-802-7485 eo Italo Americano,,,,,,,,,,,,,,,,,,,,California,,,,,,,,,
NARM-2025,805-688-1082,,,,,,,,Art,,,,,,,,,,,,,,,805-686-1211 useum of Art & Nature,,,,,,,,,,,,,,,,,,,,California,,,,,,,,,
NARM-2025,530-666-9700,,,,,,,,Art Center,,,,,,,,,,,,,,,530-623-5111 a Agriculture Museum,,,,,,,,,,,,,,,,,,,,California,,,,,,,,,
NARM-2025,303-674-0056,,,,,,,,Arts Center,,,,,,,,,,,,,,,970-259-2606 or the Arts Evergreen,,,,,,,,,,,,,,,,,,,,California,,,,,,,,,
NARM-2025,619-232-6203,,,,,,,,Automotive Museum,,,,,,,,,,,,,,,619-231-2886 go History Center,,,,,,,,,,,,,,,,,,,,California,,,,,,,,,
NARM-2025,831-722-3062,,,,,,,,Bancroft Garden,,,,,,,,,,,,,,,925-944-9352 Valley Arts,,,,,,,,,,,,,,,,,,,,California,,,,,,,,,
NARM-2025,970-856-9195,,,,,,,,Boulder,,,,,,,,,,,,,,,303-449-3464 Mesa Arts & Events Center,,,,,,,,,,,,,,,,,,,,California,,,,,,,,,
NARM-2025,408-283-8155,,,,,,,,Buena Center for the Arts,,,,,,,,,,,,,,,415-978-2700 American Historical Museum | Chinese Historica 53 Institute of Contemporary Art,,,,,,,,,,,,,,,,,,,,California,,,,,,,,,
NARM-2025,209-940-6330,,,,,,,,Center at Stanford University,,,,,,,,,,,,,,,650-723-4177 n Museum,,,,,,,,,,,,,,,,,,,,California,,,,,,,,,
